Year_Month,Card Type,Travel_Mode,Trip
Jul-17,Senior/Pensioner,Ferry,"180,265"
Jul-17,Sgl Trip Ferry Adult,Ferry,"55,823"
Jul-17,Sgl Trip Ferry Child/Youth,Ferry,"20,097"
Jul-17,Sgl Trip LR Adult,Light Rail,"4,507"
Jul-17,Sgl Trip LR Child/Youth,Light Rail,"1,486"
Jul-17,Sgl Trip Rail Adult,Train,"330,262"
Jul-17,Sgl Trip Rail Child/Youth,Train,"92,187"
Aug-17,Adult,Train,"25,596,844"
Aug-17,Adult,Bus,"14,614,966"
Aug-17,Adult,Light Rail,"575,024"
Aug-17,Adult,Ferry,"759,500"
Aug-17,Adult Single Bus Trip 1,Bus,"152,050"
Aug-17,Adult Single Bus Trip 2,Bus,"88,604"
Aug-17,Adult Single Bus Trip 3,Bus,"33,402"
Aug-17,Child/Youth,Train,"983,919"
Aug-17,Child/Youth,Bus,"1,129,569"
Aug-17,Child/Youth,Light Rail,"33,221"
Aug-17,Child/Youth,Ferry,"79,252"
Aug-17,Child/Youth Single Bus Trip 1,Bus,"37,346"
Aug-17,Child/Youth Single Bus Trip 2,Bus,"24,122"
Aug-17,Child/Youth Single Bus Trip 3,Bus,"6,683"
Aug-17,Concession,Train,"2,822,581"
Aug-17,Concession,Bus,"2,287,083"
Aug-17,Concession,Light Rail,"33,944"
Aug-17,Concession,Ferry,"27,276"
Aug-17,CTP,Ferry,"1,976"
Aug-17,Day Pass Child/Youth w/o SAF,Train,9
Aug-17,Day Pass Child/Youth w/o SAF,Bus,7
Aug-17,Day Pass Child/Youth w/o SAF,Light Rail,3
Aug-17,Day Pass Child/Youth w/o SAF,Ferry,3
Aug-17,Day Pass without SAF,Train,18
Aug-17,Day Pass without SAF,Bus,15
Aug-17,Day Pass without SAF,Light Rail,2
Aug-17,Day Pass without SAF,Ferry,5
Aug-17,Employee,Train,"316,870"
Aug-17,Employee,Bus,"75,220"
Aug-17,Employee,Ferry,"4,423"
Aug-17,Free Travel,Train,"34,768"
Aug-17,Free Travel,Bus,"39,408"
Aug-17,Free Travel,Light Rail,840
Aug-17,Free Travel,Ferry,"2,045"
Aug-17,School Student,Train,"1,234,164"
Aug-17,School Student,Bus,"2,871,680"
Aug-17,School Student,Light Rail,"7,008"
Aug-17,School Student,Ferry,"2,206"
Aug-17,Senior/Pensioner,Train,"2,902,953"
Aug-17,Senior/Pensioner,Bus,"4,196,065"
Aug-17,Senior/Pensioner,Light Rail,"125,345"
Aug-17,Senior/Pensioner,Ferry,"164,130"
Aug-17,Sgl Trip Ferry Adult,Ferry,"47,631"
Aug-17,Sgl Trip Ferry Child/Youth,Ferry,"11,008"
Aug-17,Sgl Trip LR Adult,Light Rail,"4,398"
Aug-17,Sgl Trip LR Child/Youth,Light Rail,905
Aug-17,Sgl Trip Rail Adult,Train,"329,921"
Aug-17,Sgl Trip Rail Child/Youth,Train,"63,560"
