Year_Month,Card Type,Travel_Mode,Trip
Jun-17,Opal Single Ticket,Bus,38891
Jun-17,Opal Single Ticket,Bus,25954
Jun-17,Opal Single Ticket,Bus,7945
Jun-17,Concession,Train,1944290
Jun-17,Concession,Bus,1472712
Jun-17,Concession,Light Rail,33781
Jun-17,Concession,Ferry,26673
Jun-17,Other,Train,308301
Jun-17,Other,Bus,69266
Jun-17,Other,Light Rail,1
Jun-17,Other,Ferry,5164
Jun-17,Free Opal,Train,31954
Jun-17,Free Opal,Bus,35256
Jun-17,Free Opal,Light Rail,956
Jun-17,Free Opal,Ferry,2211
Jun-17,School Opal,Train,1054982
Jun-17,School Opal,Bus,2499684
Jun-17,School Opal,Light Rail,4961
Jun-17,School Opal,Ferry,1764
Jun-17,Gold Opal,Train,2840831
Jun-17,Gold Opal,Bus,3904931
Jun-17,Gold Opal,Light Rail,148978
Jun-17,Gold Opal,Ferry,180835
Jun-17,Opal Single Ticket,Ferry,42949
Jun-17,Opal Single Ticket,Ferry,10431
Jun-17,Opal Single Ticket,Light Rail,2837
Jun-17,Opal Single Ticket,Light Rail,623
Jun-17,Opal Single Ticket,Train,293213
Jun-17,Opal Single Ticket,Train,60524
Jul-17,Adult,Train,23827242
Jul-17,Adult,Bus,13625495
Jul-17,Adult,Light Rail,607262
Jul-17,Adult,Ferry,858171
Jul-17,Adult,Bus,159698
Jul-17,Adult,Bus,96674
Jul-17,Adult,Bus,36141
Jul-17,Child/Youth,Train,1407616
Jul-17,Child/Youth,Bus,1386168
Jul-17,Child/Youth,Light Rail,51615
Jul-17,Child/Youth,Ferry,157889
Jul-17,Opal Single Ticket,Bus,55170
Jul-17,Opal Single Ticket,Bus,42041
Jul-17,Opal Single Ticket,Bus,12555
Jul-17,Concession,Train,1719629
Jul-17,Concession,Bus,1361714
Jul-17,Concession,Light Rail,30979
Jul-17,Concession,Ferry,26169
Jul-17,CTP,Ferry,2138
Jul-17,Other,Train,294034
Jul-17,Other,Bus,71153
Jul-17,Other,Light Rail,1
Jul-17,Other,Ferry,4730
Jul-17,Free Opal,Train,32228
Jul-17,Free Opal,Bus,36248
Jul-17,Free Opal,Light Rail,665
Jul-17,Free Opal,Ferry,2328
